Transaction_ID,User_ID,Transaction_Description,Amount,Location,Timestamp
0,2594,gas station payment 608349,6083.49,"Lake John, Bouvet Island (Bouvetoya)",28-01-2025 18:19
1,2236,walmart shopping 668543,6685.43,"Garciafort, Chile",12-02-2025 01:56
2,2946,suspicious wire transfer 960891,9608.91,"Danielmouth, Antarctica (the territory South of 60 deg S)",01-02-2025 04:47
3,3177,walmart shopping 788048,7880.48,"Heatherside, Saint Kitts and Nevis",17-01-2025 11:37
4,3113,walmart shopping 982238,9822.38,"New Carmenview, South Georgia and the South Sandwich Islands",14-01-2025 21:47
5,1960,credit card payment 744206,7442.06,"Harrisonville, Georgia",10-02-2025 14:29
6,1427,gas station payment 929558,9295.58,"East Ashley, Angola",29-01-2025 04:09
7,1446,amazon purchase 445413,4454.13,"East Andrew, Luxembourg",03-01-2025 12:42
8,2638,suspicious wire transfer 651609,6516.09,"East Sheilafort, Eritrea",10-02-2025 05:57
9,1699,paypal transfer 228433,2284.33,"North Richardburgh, Mozambique",01-03-2025 05:09
10,1795,credit card payment 353419,3534.19,"Lauriemouth, Ireland",18-02-2025 00:20
11,4369,gas station payment 148292,1482.92,"East Bruce, Togo",04-03-2025 09:14
12,1130,paypal transfer 987765,9877.65,"Port Crystalshire, Kyrgyz Republic",07-01-2025 15:06
13,3322,amazon purchase 68566,685.66,"Anneberg, Gambia",03-02-2025 06:57
14,4790,amazon purchase 149845,1498.45,"Jonesborough, Samoa",08-02-2025 10:14
15,2542,paypal transfer 527659,5276.59,"East Stephaniemouth, Spain",03-03-2025 10:17
16,3152,paypal transfer 407651,4076.51,"West Mario, Turks and Caicos Islands",11-03-2025 17:13
17,4119,credit card payment 612614,6126.14,"Kelseyborough, French Guiana",26-01-2025 21:51
18,3217,amazon purchase 340671,3406.71,"South Oscar, Gambia",03-02-2025 16:04
19,3779,gas station payment 680739,6807.39,"Santiagoton, Nigeria",11-01-2025 19:50
20,4864,paypal transfer 276037,2760.37,"Thompsonmouth, Thailand",30-01-2025 10:24
21,1780,paypal transfer 484911,4849.11,"Darrenmouth, Northern Mariana Islands",24-02-2025 12:54
22,4163,gas station payment 331646,3316.46,"Gomezhaven, Mayotte",23-01-2025 23:13
23,3722,gas station payment 845622,8456.22,"Garciaborough, Trinidad and Tobago",15-01-2025 12:52
24,1314,credit card payment 16915,1691.5,"West Brendaland, Northern Mariana Islands",11-01-2025 23:01
25,4623,paypal transfer 480301,4803.01,"Robertmouth, Mexico",23-01-2025 07:51
26,3686,suspicious wire transfer 70973,709.73,"Port Robert, Solomon Islands",04-02-2025 16:34
27,1053,suspicious wire transfer 378825,3788.25,"Phelpsshire, Angola",13-02-2025 16:59
28,3616,amazon purchase 149907,1499.07,"Lake Stephanie, Mayotte",02-01-2025 19:48
29,4654,amazon purchase 328746,3287.46,"Valerieton, Marshall Islands",01-02-2025 23:50
30,3070,gas station payment 706217,7062.17,"East Patriciamouth, Jamaica",06-02-2025 09:09
31,1505,gas station payment 373725,3737.25,"South Jonborough, Mexico",09-03-2025 19:01
32,1437,credit card payment 405099,4050.99,"Deborahshire, Guernsey",06-02-2025 07:15
33,4609,credit card payment 95191,951.91,"Garciashire, Aruba",13-03-2025 00:40
34,3583,walmart shopping 582547,5825.47,"Jeremiahbury, Saint Lucia",16-01-2025 20:13
35,3934,amazon purchase 436145,4361.45,"Ryanburgh, Germany",05-01-2025 00:46
36,1491,gas station payment 242571,2425.71,"Carpenterside, Japan",06-01-2025 12:04
37,3838,walmart shopping 426754,4267.54,"Port Alexisport, Bouvet Island (Bouvetoya)",23-02-2025 21:14
38,3756,credit card payment 729982,7299.82,"Lake Jeffrey, Djibouti",21-01-2025 22:08
39,2300,amazon purchase 771574,7715.74,"Port Haleyland, Haiti",17-01-2025 18:27
40,1082,suspicious wire transfer 469667,4696.67,"Angelahaven, Qatar",01-01-2025 09:19
41,1594,amazon purchase 26437,2643.7,"Port Michelletown, San Marino",17-01-2025 06:21
42,4357,paypal transfer 27935,279.35,"Julieview, Luxembourg",08-01-2025 14:07
43,4123,credit card payment 933282,9332.82,"Port Margaret, Vanuatu",28-02-2025 15:11
44,4050,suspicious wire transfer 924435,9244.35,"Port Holly, Costa Rica",16-02-2025 10:42
45,4044,credit card payment 179507,1795.07,"Lake James, Sweden",03-01-2025 08:16
46,4594,amazon purchase 6271,62.71,"Chavezport, Burkina Faso",13-03-2025 01:47
47,3719,paypal transfer 615367,6153.67,"Lake Jason, Haiti",27-01-2025 08:49
48,1538,gas station payment 478346,4783.46,"Proctormouth, Hungary",24-01-2025 17:35
49,1242,walmart shopping 140729,1407.29,"Ashleyburgh, Anguilla",27-02-2025 03:54
50,1957,walmart shopping 823889,8238.89,"Joneschester, Cameroon",22-01-2025 12:26
51,1790,walmart shopping 309052,3090.52,"Port Jenniferfort, Gibraltar",17-01-2025 20:49
52,1661,gas station payment 803844,8038.44,"Sarahside, Mayotte",15-01-2025 02:53
53,3698,amazon purchase 97456,974.56,"West Dawnside, Nigeria",15-01-2025 12:14
54,1613,gas station payment 17888,178.88,"West Anthonyshire, Iran",01-01-2025 04:51
55,2407,paypal transfer 708315,7083.15,"New Chad, French Southern Territories",07-01-2025 19:25
56,3750,paypal transfer 99107,9910.7,"West April, Faroe Islands",28-01-2025 04:29
57,2670,amazon purchase 535469,5354.69,"Kellystad, Heard Island and McDonald Islands",11-01-2025 05:50
58,4844,walmart shopping 277601,2776.01,"East Ashley, France",13-02-2025 02:38
59,1913,paypal transfer 625807,6258.07,"Arellanoshire, Yemen",25-01-2025 01:42
60,1790,paypal transfer 112796,1127.96,"West Crystal, Korea",08-03-2025 01:24
61,4652,credit card payment 827363,8273.63,"Peterton, Slovakia (Slovak Republic)",08-02-2025 18:28
62,2179,gas station payment 185916,1859.16,"New Diane, Sao Tome and Principe",04-02-2025 07:12
63,4742,walmart shopping 27365,2736.5,"South Bradley, Central African Republic",15-02-2025 10:12
64,1962,amazon purchase 780046,7800.46,"Tinastad, South Africa",18-01-2025 15:04
65,3131,credit card payment 78565,785.65,"East Barryburgh, Congo",21-02-2025 10:16
66,1857,amazon purchase 808946,8089.46,"Lake Jenniferland, Panama",21-01-2025 20:16
67,2934,paypal transfer 538372,5383.72,"Lake Lisa, Australia",23-02-2025 09:49
68,3650,amazon purchase 417238,4172.38,"North Johnnyshire, Bermuda",07-01-2025 13:31
69,2861,walmart shopping 315916,3159.16,"East Stephanie, Seychelles",07-02-2025 03:18
70,2511,walmart shopping 26579,2657.9,"Brettbury, Israel",21-01-2025 03:49
71,2487,amazon purchase 13535,135.35,"Smithfurt, Tokelau",21-01-2025 01:06
72,2570,gas station payment 53400,5340,"Lake Michael, Vietnam",09-02-2025 13:55
73,3281,walmart shopping 89652,896.52,"Lake Jason, Dominica",04-02-2025 15:56
74,3482,walmart shopping 307165,3071.65,"West Rachel, Maldives",31-01-2025 14:25
75,4412,walmart shopping 705054,7050.54,"East Daniel, Tokelau",12-02-2025 05:42
76,1841,gas station payment 464109,4641.09,"West Ericamouth, Italy",03-01-2025 21:40
77,3797,walmart shopping 417623,4176.23,"North Richardhaven, Madagascar",03-01-2025 05:08
78,4828,walmart shopping 101122,1011.22,"Porterside, Iceland",22-02-2025 17:07
79,4761,credit card payment 48440,4844,"Port Brettburgh, Uganda",12-01-2025 02:05
80,1099,amazon purchase 517503,5175.03,"Morrisberg, Greenland",21-01-2025 11:51
81,1446,walmart shopping 111422,1114.22,"East Samanthachester, Portugal",14-02-2025 19:31
82,2660,suspicious wire transfer 253716,2537.16,"Lake Stephanie, Benin",12-03-2025 10:40
83,3127,gas station payment 242888,2428.88,"North Stacy, Saint Vincent and the Grenadines",11-03-2025 02:14
84,2237,walmart shopping 906149,9061.49,"Wintersmouth, Egypt",28-01-2025 20:40
85,1386,suspicious wire transfer 409225,4092.25,"Lake Adam, Argentina",26-01-2025 03:43
86,2306,credit card payment 525122,5251.22,"Timothyfort, Suriname",14-01-2025 16:10
87,1645,amazon purchase 167689,1676.89,"Hendersonland, Suriname",06-01-2025 16:15
88,3273,amazon purchase 536057,5360.57,"Lake Lindaport, Finland",31-01-2025 02:18
89,1996,credit card payment 28684,2868.4,"Port Jenniferhaven, Norfolk Island",04-03-2025 10:34
90,3586,gas station payment 217693,2176.93,"Susanview, Norfolk Island",18-01-2025 19:06
91,1909,gas station payment 507186,5071.86,"New Bradley, Malta",11-01-2025 05:08
92,4701,suspicious wire transfer 473824,4738.24,"Jameschester, Saint Martin",13-02-2025 10:34
93,3331,suspicious wire transfer 684659,6846.59,"West Sean, Finland",01-03-2025 03:03
94,3283,paypal transfer 470122,4701.22,"East Seth, Turkmenistan",01-01-2025 12:35
95,1179,suspicious wire transfer 34177,341.77,"Robertfort, Somalia",06-03-2025 09:19
