Transaction_ID,User_ID,Transaction_Description,Amount,Location,Timestamp
0,2594,Gas Station Payment $6083.49,6083.49,"Lake John, Bouvet Island (Bouvetoya)",28-01-2025 18:19
1,2236,Walmart Shopping $6685.43,6685.43,"Garciafort, Chile",12-02-2025 01:56
2,2946,Suspicious Wire Transfer $9608.91,9608.91,"Danielmouth, Antarctica (the territory South of 60 deg S)",01-02-2025 04:47
3,3177,Walmart Shopping $7880.48,7880.48,"Heatherside, Saint Kitts and Nevis",17-01-2025 11:37
4,3113,Walmart Shopping $9822.38,9822.38,"New Carmenview, South Georgia and the South Sandwich Islands",14-01-2025 21:47
5,1960,Credit Card Payment $7442.06,7442.06,"Harrisonville, Georgia",10-02-2025 14:29
6,1427,Gas Station Payment $9295.58,9295.58,"East Ashley, Angola",29-01-2025 04:09
7,1446,Amazon Purchase $4454.13,4454.13,"East Andrew, Luxembourg",03-01-2025 12:42
8,2638,Suspicious Wire Transfer $6516.09,6516.09,"East Sheilafort, Eritrea",10-02-2025 05:57
9,1699,PayPal Transfer $2284.33,2284.33,"North Richardburgh, Mozambique",01-03-2025 05:09
10,1795,Credit Card Payment $3534.19,3534.19,"Lauriemouth, Ireland",18-02-2025 00:20
11,4369,Gas Station Payment $1482.92,1482.92,"East Bruce, Togo",04-03-2025 09:14
12,1130,PayPal Transfer $9877.65,9877.65,"Port Crystalshire, Kyrgyz Republic",07-01-2025 15:06
13,3322,Amazon Purchase $685.66,685.66,"Anneberg, Gambia",03-02-2025 06:57
14,4790,Amazon Purchase $1498.45,1498.45,"Jonesborough, Samoa",08-02-2025 10:14
15,2542,PayPal Transfer $5276.59,5276.59,"East Stephaniemouth, Spain",03-03-2025 10:17
16,3152,PayPal Transfer $4076.51,4076.51,"West Mario, Turks and Caicos Islands",11-03-2025 17:13
17,4119,Credit Card Payment $6126.14,6126.14,"Kelseyborough, French Guiana",26-01-2025 21:51
18,3217,Amazon Purchase $3406.71,3406.71,"South Oscar, Gambia",03-02-2025 16:04
19,3779,Gas Station Payment $6807.39,6807.39,"Santiagoton, Nigeria",11-01-2025 19:50
20,4864,PayPal Transfer $2760.37,2760.37,"Thompsonmouth, Thailand",30-01-2025 10:24
21,1780,PayPal Transfer $4849.11,4849.11,"Darrenmouth, Northern Mariana Islands",24-02-2025 12:54
22,4163,Gas Station Payment $3316.46,3316.46,"Gomezhaven, Mayotte",23-01-2025 23:13
23,3722,Gas Station Payment $8456.22,8456.22,"Garciaborough, Trinidad and Tobago",15-01-2025 12:52
24,1314,Credit Card Payment $1691.5,1691.5,"West Brendaland, Northern Mariana Islands",11-01-2025 23:01
25,4623,PayPal Transfer $4803.01,4803.01,"Robertmouth, Mexico",23-01-2025 07:51
26,3686,Suspicious Wire Transfer $709.73,709.73,"Port Robert, Solomon Islands",04-02-2025 16:34
27,1053,Suspicious Wire Transfer $3788.25,3788.25,"Phelpsshire, Angola",13-02-2025 16:59
28,3616,Amazon Purchase $1499.07,1499.07,"Lake Stephanie, Mayotte",02-01-2025 19:48
29,4654,Amazon Purchase $3287.46,3287.46,"Valerieton, Marshall Islands",01-02-2025 23:50
30,3070,Gas Station Payment $7062.17,7062.17,"East Patriciamouth, Jamaica",06-02-2025 09:09
31,1505,Gas Station Payment $3737.25,3737.25,"South Jonborough, Mexico",09-03-2025 19:01
32,1437,Credit Card Payment $4050.99,4050.99,"Deborahshire, Guernsey",06-02-2025 07:15
33,4609,Credit Card Payment $951.91,951.91,"Garciashire, Aruba",13-03-2025 00:40
34,3583,Walmart Shopping $5825.47,5825.47,"Jeremiahbury, Saint Lucia",16-01-2025 20:13
35,3934,Amazon Purchase $4361.45,4361.45,"Ryanburgh, Germany",05-01-2025 00:46
36,1491,Gas Station Payment $2425.71,2425.71,"Carpenterside, Japan",06-01-2025 12:04
37,3838,Walmart Shopping $4267.54,4267.54,"Port Alexisport, Bouvet Island (Bouvetoya)",23-02-2025 21:14
38,3756,Credit Card Payment $7299.82,7299.82,"Lake Jeffrey, Djibouti",21-01-2025 22:08
39,2300,Amazon Purchase $7715.74,7715.74,"Port Haleyland, Haiti",17-01-2025 18:27
40,1082,Suspicious Wire Transfer $4696.67,4696.67,"Angelahaven, Qatar",01-01-2025 09:19
41,1594,Amazon Purchase $2643.7,2643.7,"Port Michelletown, San Marino",17-01-2025 06:21
42,4357,PayPal Transfer $279.35,279.35,"Julieview, Luxembourg",08-01-2025 14:07
43,4123,Credit Card Payment $9332.82,9332.82,"Port Margaret, Vanuatu",28-02-2025 15:11
44,4050,Suspicious Wire Transfer $9244.35,9244.35,"Port Holly, Costa Rica",16-02-2025 10:42
45,4044,Credit Card Payment $1795.07,1795.07,"Lake James, Sweden",03-01-2025 08:16
46,4594,Amazon Purchase $62.71,62.71,"Chavezport, Burkina Faso",13-03-2025 01:47
47,3719,PayPal Transfer $6153.67,6153.67,"Lake Jason, Haiti",27-01-2025 08:49
48,1538,Gas Station Payment $4783.46,4783.46,"Proctormouth, Hungary",24-01-2025 17:35
49,1242,Walmart Shopping $1407.29,1407.29,"Ashleyburgh, Anguilla",27-02-2025 03:54
50,1957,Walmart Shopping $8238.89,8238.89,"Joneschester, Cameroon",22-01-2025 12:26
51,1790,Walmart Shopping $3090.52,3090.52,"Port Jenniferfort, Gibraltar",17-01-2025 20:49
52,1661,Gas Station Payment $8038.44,8038.44,"Sarahside, Mayotte",15-01-2025 02:53
53,3698,Amazon Purchase $974.56,974.56,"West Dawnside, Nigeria",15-01-2025 12:14
54,1613,Gas Station Payment $178.88,178.88,"West Anthonyshire, Iran",01-01-2025 04:51
55,2407,PayPal Transfer $7083.15,7083.15,"New Chad, French Southern Territories",07-01-2025 19:25
56,3750,PayPal Transfer $9910.7,9910.7,"West April, Faroe Islands",28-01-2025 04:29
57,2670,Amazon Purchase $5354.69,5354.69,"Kellystad, Heard Island and McDonald Islands",11-01-2025 05:50
58,4844,Walmart Shopping $2776.01,2776.01,"East Ashley, France",13-02-2025 02:38
59,1913,PayPal Transfer $6258.07,6258.07,"Arellanoshire, Yemen",25-01-2025 01:42
60,1790,PayPal Transfer $1127.96,1127.96,"West Crystal, Korea",08-03-2025 01:24
61,4652,Credit Card Payment $8273.63,8273.63,"Peterton, Slovakia (Slovak Republic)",08-02-2025 18:28
62,2179,Gas Station Payment $1859.16,1859.16,"New Diane, Sao Tome and Principe",04-02-2025 07:12
63,4742,Walmart Shopping $2736.5,2736.5,"South Bradley, Central African Republic",15-02-2025 10:12
64,1962,Amazon Purchase $7800.46,7800.46,"Tinastad, South Africa",18-01-2025 15:04
65,3131,Credit Card Payment $785.65,785.65,"East Barryburgh, Congo",21-02-2025 10:16
66,1857,Amazon Purchase $8089.46,8089.46,"Lake Jenniferland, Panama",21-01-2025 20:16
67,2934,PayPal Transfer $5383.72,5383.72,"Lake Lisa, Australia",23-02-2025 09:49
68,3650,Amazon Purchase $4172.38,4172.38,"North Johnnyshire, Bermuda",07-01-2025 13:31
69,2861,Walmart Shopping $3159.16,3159.16,"East Stephanie, Seychelles",07-02-2025 03:18
70,2511,Walmart Shopping $2657.9,2657.9,"Brettbury, Israel",21-01-2025 03:49
71,2487,Amazon Purchase $135.35,135.35,"Smithfurt, Tokelau",21-01-2025 01:06
72,2570,Gas Station Payment $5340.0,5340,"Lake Michael, Vietnam",09-02-2025 13:55
73,3281,Walmart Shopping $896.52,896.52,"Lake Jason, Dominica",04-02-2025 15:56
74,3482,Walmart Shopping $3071.65,3071.65,"West Rachel, Maldives",31-01-2025 14:25
75,4412,Walmart Shopping $7050.54,7050.54,"East Daniel, Tokelau",12-02-2025 05:42
76,1841,Gas Station Payment $4641.09,4641.09,"West Ericamouth, Italy",03-01-2025 21:40
77,3797,Walmart Shopping $4176.23,4176.23,"North Richardhaven, Madagascar",03-01-2025 05:08
78,4828,Walmart Shopping $1011.22,1011.22,"Porterside, Iceland",22-02-2025 17:07
79,4761,Credit Card Payment $4844.0,4844,"Port Brettburgh, Uganda",12-01-2025 02:05
80,1099,Amazon Purchase $5175.03,5175.03,"Morrisberg, Greenland",21-01-2025 11:51
81,1446,Walmart Shopping $1114.22,1114.22,"East Samanthachester, Portugal",14-02-2025 19:31
82,2660,Suspicious Wire Transfer $2537.16,2537.16,"Lake Stephanie, Benin",12-03-2025 10:40
83,3127,Gas Station Payment $2428.88,2428.88,"North Stacy, Saint Vincent and the Grenadines",11-03-2025 02:14
84,2237,Walmart Shopping $9061.49,9061.49,"Wintersmouth, Egypt",28-01-2025 20:40
85,1386,Suspicious Wire Transfer $4092.25,4092.25,"Lake Adam, Argentina",26-01-2025 03:43
86,2306,Credit Card Payment $5251.22,5251.22,"Timothyfort, Suriname",14-01-2025 16:10
